Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
Udannu,Udannu,,Udannu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/152,,Q389597,Q393513
Uhudu,Uhudu,,Uhudu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/145,,Q389597,Q393513
Uluburun,mod. Uluburun),,uncertain (mod. Uluburun),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/442,,Q389597,Q393513
Uluşar,mod. Uluşar),,uncertain (mod. Uluşar),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/825,,Q389597,Q393513
Yāhūdu,Yāhūdu,,Yāhūdu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/406,,Q389597,Q393513
Yalındüz,mod. Yalındüz),,uncertain (mod. Yalındüz),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/951,,Q389597,Q393513
Yanik Tepe,mod. Yanik Tepe),,uncertain (mod. Yanik Tepe),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/638,,Q389597,Q393513
Yorgan Tepe,Gasur/Nuzi (mod. Yorgan Tepe),,Gasur/Nuzi (mod. Yorgan Tepe),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/222,,Q389597,Q393513
Za'aleh,mod. Za'aleh),,uncertain (mod. Za'aleh),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/122,,Q389597,Q393513
Ηeraio Samou,mod. Ηeraio Samou),,uncertain (mod. Ηeraio Samou),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/780,,Q389597,Q393513
Новый Кумак,mod. Новый Кумак),,uncertain (mod. Новый Кумак),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/880,,Q389597,Q393513
Adams 1981; site 1069,mod. Adams 1981; site 1069),,uncertain (mod. Adams 1981; site 1069),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/850,,Q389597,Q393513
