Label,Modern,count,Provenience
uncertain,mod. Tell Ubaid,17,17 uncertain (mod. Tell Ubaid)
uncertain,mod. Tell Uqair,42,42 uncertain (mod. Tell Uqair)
uncertain,mod. Tell Yarah,1,1 uncertain (mod. Tell Yarah)
uncertain,mod. Tell Yelkhi,98,98 uncertain (mod. Tell Yelkhi)
uncertain,mod. Tell al-Diba'i,54,54 uncertain (mod. Tell al-Diba'i)
uncertain,mod. Tell al-Hawa,16,16 uncertain (mod. Tell al-Hawa)
uncertain,mod. Tell al-Lahm,9,9 uncertain (mod. Tell al-Lahm)
uncertain,mod. Tell el-Hesi,1,1 uncertain (mod. Tell el-Hesi)
uncertain,mod. Tell el-Maskuta,1,1 uncertain (mod. Tell el-Maskuta)
uncertain,mod. Tell en-Nasbeh,1,1 uncertain (mod. Tell en-Nasbeh)
uncertain,mod. Tell es-Seeb,6,6 uncertain (mod. Tell es-Seeb)
uncertain,mod. Tepe Farukhabad,1,1 uncertain (mod. Tepe Farukhabad)
uncertain,mod. Tepe Gawra,2,2 uncertain (mod. Tepe Gawra)
uncertain,mod. Tepe Gotvand,1,1 uncertain (mod. Tepe Gotvand)
uncertain,mod. Tepe Sialk,29,29 uncertain (mod. Tepe Sialk)
uncertain,mod. Tepe Sofalin,11,11 uncertain (mod. Tepe Sofalin)
uncertain,mod. Tepe Yahya,28,28 uncertain (mod. Tepe Yahya)
uncertain,mod. Thebes,2,2 uncertain (mod. Thebes)
uncertain,mod. Tikrit,2,2 uncertain (mod. Tikrit)
uncertain,mod. Til-Buri,1,1 uncertain (mod. Til-Buri)
uncertain,mod. Tilmen Höyük,2,2 uncertain (mod. Tilmen Höyük)
uncertain,mod. Tulul Khatab,42,42 uncertain (mod. Tulul Khatab)
uncertain,mod. Tulul al-Lak,2,2 uncertain (mod. Tulul al-Lak)
uncertain,mod. Turlu Höyük,1,1 uncertain (mod. Turlu Höyük)
uncertain,mod. Tuz Hurmati,5,5 uncertain (mod. Tuz Hurmati)
uncertain,mod. Uluburun,1,1 uncertain (mod. Uluburun)
uncertain,mod. Umm Chatil,1,1 uncertain (mod. Umm Chatil)
uncertain,mod. Umm al-Aqarib,2,2 uncertain (mod. Umm al-Aqarib)
uncertain,mod. Umm al-Wawīya,7,7 uncertain (mod. Umm al-Wawīya)
uncertain,mod. Umm el-Djerab,7,7 uncertain (mod. Umm el-Djerab)
uncertain,mod. Umm el-Hafriyat,11,11 uncertain (mod. Umm el-Hafriyat)
uncertain,mod. Yanik Tepe,1,1 uncertain (mod. Yanik Tepe)
