FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q2099924,https://database.factgrid.de/entity/Q2099924,Bit-Šaḫṭu,,197,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389688,https://database.factgrid.de/entity/Q389688,Tall-I Takht (mod. Pasargadae),Pasargadae,198,Point(53.1768 30.2008),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390087,https://database.factgrid.de/entity/Q390087,Sur Jar'a,,199,Point(42.1939 34.3072),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389858,https://database.factgrid.de/entity/Q389858,Sippar-Amnanum (mod. Tell ed-Der),Sippar-Amnanum,2,Point(44.2991 33.0991),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390047,https://database.factgrid.de/entity/Q390047,Kizkapanlı,,20,Point(37.285 37.395),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099976,https://database.factgrid.de/entity/Q2099976,Naḫalla,,201,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390059,https://database.factgrid.de/entity/Q390059,Harran (mod. Harran),Harran,202,Point(39.0309 36.8634),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099904,https://database.factgrid.de/entity/Q2099904,Alu-ša-šuma-ukin,,203,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389862,https://database.factgrid.de/entity/Q389862,Ḫarbe (mod. Tell Chuera),Tell Chuera | Ḫarbe,204,Point(39.4981 36.6469),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389713,https://database.factgrid.de/entity/Q389713,Deh-e No,Dah-i Nu,206,Point(48.5684 32.0686),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389877,https://database.factgrid.de/entity/Q389877,Ur (mod. Tell Muqayyar),Ur | Uri,21,Point(46.1063 30.9607),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389905,https://database.factgrid.de/entity/Q389905,Tell Sifr,Kutalla,167 | 210,Point(45.9672 31.2946),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390001,https://database.factgrid.de/entity/Q390001,Assur,Aššur | Kalah Shergat | Ashur,211 | 205,Point(43.2611 35.4557),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099949,https://database.factgrid.de/entity/Q2099949,Himeri,mod. Himeri,213,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389941,https://database.factgrid.de/entity/Q389941,Ekalte (mod. Tell Munbaqa),Mumbaqat | Ekalte,214,Point(38.1298 36.2182),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390163,https://database.factgrid.de/entity/Q390163,Umm al-Wawīya,,215,Point(45.7626 31.2613),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389886,https://database.factgrid.de/entity/Q389886,Nagar (mod. Tell Brak),Tell Brak | Nagar,217,Point(41.0584 36.667),Q8 | Q389596,ancient location and modern archaeological excavation site
