,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q389660,Q6100895,Eskiyapar,,https://database.factgrid.de/entity/Q389660,,Point(34.773 40.1581)
Q390074,Q6101667,Girnavaz,,https://database.factgrid.de/entity/Q390074,,Point(41.2304 37.1049)
Q389840,Q619707,Tall Abū Ḥabbah,Sippar-Yahrurum (mod. Tell Abu Habbah),https://database.factgrid.de/entity/Q389840,25,Point(44.2552 33.0605)
Q389923,Q622719,Dur-Kurigalzu,Dur-Kurigalzu (mod. Aqar Quf),https://database.factgrid.de/entity/Q389923,13,Point(44.1888 33.3599)
Q389825,Q625134,Borsippa,Borsippa (mod. Birs Nimrud),https://database.factgrid.de/entity/Q389825,83,Point(44.3434 32.3924)
Q389853,Q644872,Tall al-Ashārah,Terqa (mod. Ashara),https://database.factgrid.de/entity/Q389853,250,Point(40.5677 34.9229)
Q389745,Q648705,Naqsh Rustam,uncertain (mod. Naqš-i-Rustam),https://database.factgrid.de/entity/Q389745,422,Point(52.8745 29.9885)
Q389854,Q657272,Tall al-Bīʻa,Tuttul (mod. Tell Bi'a),https://database.factgrid.de/entity/Q389854,26,Point(39.0471 35.958)
Q390144,Q6578608,Savacık,,https://database.factgrid.de/entity/Q390144,,Point(43.6173 38.4123)
Q389686,Q6659990,Liyan,,https://database.factgrid.de/entity/Q389686,,Point(50.8744 28.8853)
Q389748,Q675636,Armavir,,https://database.factgrid.de/entity/Q389748,,Point(44.0332 40.082)
Q389638,Q682612,Antipatris,Antipatris (mod. Tel Aphek),https://database.factgrid.de/entity/Q389638,10,Point(34.9311 32.1053)
Q389878,Q690035,Kadesh,,https://database.factgrid.de/entity/Q389878,,Point(36.5194 34.557)
Q390052,Q705132,Arslantepe Höyüğü,Melidu (mod. Arslantepe),https://database.factgrid.de/entity/Q390052,395,Point(38.3612 38.382)
Q389925,Q7199033,Tall ‘Aushariyah,,https://database.factgrid.de/entity/Q389925,,Point(38.0755 36.6599)
Q389747,Q733610,Erebuni,,https://database.factgrid.de/entity/Q389747,,Point(44.538 40.1405)
Q390005,Q740104,Qal’at al Bahrain,Dilmun (mod. Qal'at al-Bahrain),https://database.factgrid.de/entity/Q390005,377,Point(50.5209 26.2328)
Q389833,Q740952,Tall Jūka,Umma (mod. Tell Jokha),https://database.factgrid.de/entity/Q389833,154,Point(45.8861 31.6669)
Q389819,Q745727,Īshān Zurghul,Nigin (mod. Surghul) : Sirara (mod. Tell Zurghul),https://database.factgrid.de/entity/Q389819,40,Point(46.4948 31.3777)
Q389819,Q745727,Īshān Zurghul,Nigin (mod. Surghul) : Sirara (mod. Tell Zurghul),https://database.factgrid.de/entity/Q389819,399,Point(46.4948 31.3777)
Q389858,Q7525818,Tall al-Daiyr,Sippar-Amnanum (mod. Tell ed-Der),https://database.factgrid.de/entity/Q389858,2,Point(44.2991 33.0991)
Q390078,Q756957,Hasankeyf,,https://database.factgrid.de/entity/Q390078,,Point(41.4137 37.7137)
Q390124,Q766324,Van,,https://database.factgrid.de/entity/Q390124,,Point(43.3397 38.5011)
