audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,422355,Q2163576,,Cuneiform Tablet BM 121093,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422355",,,,,,P422355
no_expected_no_live,422379,Q2168123,,Cuneiform Tablet BM 121128,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422379",,,,,,P422379
no_expected_no_live,422380,Q2168751,,Cuneiform Tablet BM 121129,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422380",,,,,,P422380
no_expected_no_live,422400,Q2146027,,Cuneiform Tablet BM 122614,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422400",,,,,,P422400
no_expected_no_live,422416,Q2169462,,Cuneiform Tablet BM 122633,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422416",,,,,,P422416
no_expected_no_live,422705,Q2163738,,Cuneiform Tablet BM 127930,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422705",,,,,,P422705
no_expected_no_live,422791,Q2166280,,Cuneiform Tablet BM 128017,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422791",,,,,,P422791
no_expected_no_live,422800,Q2168958,,Cuneiform Tablet BM 128028,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422800",,,,,,P422800
no_expected_no_live,422816,Q2047511,,Cuneiform Tablet BM 128049,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422816",,,,,,P422816
no_expected_no_live,422904,Q2167561,,Cuneiform Tablet BM 128148,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422904",,,,,,P422904
no_expected_no_live,422945,Q2169915,,Cuneiform Tablet BM 128192,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422945",,,,,,P422945
no_expected_no_live,423246,Q2167438,,Cuneiform Tablet BM 134520,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P423246",,,,,,P423246
no_expected_no_live,423303,Q2166494,,Cuneiform Tablet BM 134784,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P423303",,,,,,P423303
no_expected_no_live,423342,Q2168819,,Cuneiform Tablet BM 134827,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P423342",,,,,,P423342
no_expected_no_live,423378,Q2164714,,Cuneiform Tablet Bod AB A 005,"CDLI artifact: tablet; held by Ashmolean Museum, Oxford, UK; CDLI P423378",,,,,,P423378
no_expected_no_live,423397,Q2164529,,Cuneiform Tablet Bod AB A 026,"CDLI artifact: tablet; held by Ashmolean Museum, Oxford, UK; CDLI P423397",,,,,,P423397
no_expected_no_live,424147,Q2164728,,Cuneiform Tablet MAH 16314,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Musée d'Art et d'Histoire, Geneva, Switzerland; CDLI P424147",,,,,,P424147
no_expected_no_live,427593,Q2166226,,"Cuneiform Tablet MDP 57, 02",CDLI artifact: tablet; from Susa (mod. Shush); CDLI P427593,,,,,,P427593
no_expected_no_live,427602,Q2147535,,"Cuneiform Tablet MDP 57, 11",CDLI artifact: tablet; from Susa (mod. Shush); CDLI P427602,,,,,,P427602
no_expected_no_live,427985,Q2165859,,Cuneiform Artifact BM 090373,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P427985",,,,,,P427985
no_expected_no_live,428426,Q2162079,,Cuneiform Artifact BM 114296,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428426",,,,,,P428426
no_expected_no_live,428627,Q2165507,,Cuneiform Artifact BM 137860,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428627",,,,,,P428627
no_expected_no_live,428631,Q2168452,,Cuneiform Artifact BM 138718,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428631",,,,,,P428631
no_expected_no_live,428666,Q2166208,,Cuneiform Artifact P428666,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428666",,,,,,P428666
no_expected_no_live,428689,Q2165478,,Cuneiform Artifact P428689,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428689",,,,,,P428689
no_expected_no_live,428758,Q2163628,,Cuneiform Artifact N 2025,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428758",,,,,,P428758
no_expected_no_live,428762,Q2150328,,Cuneiform Artifact N 2033,"CDLI artifact: brick; held by British Museum, London, UK; CDLI P428762",,,,,,P428762
no_expected_no_live,429165,Q2167798,,Cuneiform Tablet MAH 00000F13,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Musée d'Art et d'Histoire, Geneva, Switzerland; CDLI P429165",,,,,,P429165
no_expected_no_live,429470,Q1090978,,Cuneiform Tablet P429470,"CDLI artifact: tablet; held by P. J., USA; CDLI P429470",,,,,,P429470
no_expected_no_live,429866,Q2168066,,Cuneiform Tablet SE 138 (missing),"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Couvent Saint-Étienne, Jerusalem; CDLI P429866",,,,,,P429866
no_expected_no_live,429889,Q2168274,,Cuneiform Artifact CDLI Seals 001481 (physical),"CDLI artifact: Cylinder seal; held by Studium Biblicum Franciscanum Archaeological Museum, Jerusalem; CDLI P429889",,,,,,P429889
no_expected_no_live,430104,Q2164965,,Cuneiform Artifact GMII 1336 ?,"CDLI artifact: cone; held by Pushkin State Museum of Fine Arts, Moscow, Russian Federation; CDLI P430104",,,,,,P430104
